director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Anthony Hemingway,Cuba Gooding Jr.,Nate Parker,David Oyelowo,Drama Action Adventure History War,red tails,Cuba Gooding Jr. Nate Parker David Oyelowo Anthony Hemingway Drama Action Adventure History War
"Måns Mårlind, Bjorn Stein",Kate Beckinsale,Theo James,India Eisley,Fantasy Action Horror,underworld: awakening,"Kate Beckinsale Theo James India Eisley Måns Mårlind, Bjorn Stein Fantasy Action Horror"
Ralph Fiennes,Ralph Fiennes,Gerard Butler,Vanessa Redgrave,Drama Thriller,coriolanus,Ralph Fiennes Gerard Butler Vanessa Redgrave Ralph Fiennes Drama Thriller
Zhang Yimou,Christian Bale,Ni Ni,Zhang Xinyi,Drama History War,the flowers of war,Christian Bale Ni Ni Zhang Xinyi Zhang Yimou Drama History War
Kazuya Murata,Alexis Tipton,Matthew Mercer,Patrick Seitz,Adventure Fantasy Animation Action Science Fiction,fullmetal alchemist: the sacred star of milos,Alexis Tipton Matthew Mercer Patrick Seitz Kazuya Murata Adventure Fantasy Animation Action Science Fiction
Madonna,Abbie Cornish,Oscar Isaac,James D'Arcy,Drama Romance,w.e.,Abbie Cornish Oscar Isaac James D'Arcy Madonna Drama Romance
Joe Carnahan,Liam Neeson,Frank Grillo,Dermot Mulroney,Drama Thriller Action Adventure,the grey,Liam Neeson Frank Grillo Dermot Mulroney Joe Carnahan Drama Thriller Action Adventure
Asger Leth,Sam Worthington,Ed Harris,Elizabeth Banks,Action Thriller Crime,man on a ledge,Sam Worthington Ed Harris Elizabeth Banks Asger Leth Action Thriller Crime
Julie Anne Robinson,Katherine Heigl,Debbie Reynolds,Jason O'Mara,Action Comedy Crime,one for the money,Katherine Heigl Debbie Reynolds Jason O'Mara Julie Anne Robinson Action Comedy Crime
Fernando León de Aranoa,Fernando León de Aranoa (director); Magaly Solier,Celso Bugallo,Pietro Sibille,Drama,amador,Fernando León de Aranoa (director); Magaly Solier Celso Bugallo Pietro Sibille Fernando León de Aranoa Drama
Valérie Donzelli,Valérie Donzelli (director),unknown,unknown,Drama,declaration of war,Valérie Donzelli (director) unknown unknown Valérie Donzelli Drama
Fábio Barreto,Fábio Barreto (director); Rui Ricardo Dias,Glória Pires,Cléo Pires,Drama History,"lula, son of brazil",Fábio Barreto (director); Rui Ricardo Dias Glória Pires Cléo Pires Fábio Barreto Drama History
Robin Hardy,Robin Hardy (director); Graham McTavish,Jacqueline Leonard,Henry Garrett,Mystery Horror Thriller,the wicker tree,Robin Hardy (director); Graham McTavish Jacqueline Leonard Henry Garrett Robin Hardy Mystery Horror Thriller
Ken Kwapis,John Krasinski,Drew Barrymore,Kristen Bell,Adventure Drama Romance,big miracle,John Krasinski Drew Barrymore Kristen Bell Ken Kwapis Adventure Drama Romance
Josh Trank,Dane DeHaan,Michael B. Jordan,Alex Russell,Science Fiction Drama Thriller,chronicle,Dane DeHaan Michael B. Jordan Alex Russell Josh Trank Science Fiction Drama Thriller
James Watkins,Daniel Radcliffe,Ciarán Hinds,Janet McTeer,Drama Horror Thriller,the woman in black,Daniel Radcliffe Ciarán Hinds Janet McTeer James Watkins Drama Horror Thriller
Brad Peyton,Dwayne Johnson,Michael Caine,Josh Hutcherson,Adventure Action Science Fiction,journey 2: the mysterious island,Dwayne Johnson Michael Caine Josh Hutcherson Brad Peyton Adventure Action Science Fiction
Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Thriller,safe house,Denzel Washington Ryan Reynolds Sam Shepard Daniel Espinosa Action Thriller
Michael Sucsy,Rachel McAdams,Channing Tatum,Scott Speedman,Drama Romance,the vow,Rachel McAdams Channing Tatum Scott Speedman Michael Sucsy Drama Romance
Michael Whitton,Michael Whitton (director); Jameel Saleem (screenplay);,unknown,unknown,Comedy Romance,exit strategy,Michael Whitton (director); Jameel Saleem (screenplay); unknown unknown Michael Whitton Comedy Romance
Oren Moverman,Woody Harrelson,Ben Foster,Robin Wright,Crime Drama,rampart,Woody Harrelson Ben Foster Robin Wright Oren Moverman Crime Drama
Gary Rydstrom,Will Arnett,Amy Poehler,Carol Burnett,Fantasy Animation Family,the secret world of arrietty,Will Arnett Amy Poehler Carol Burnett Gary Rydstrom Fantasy Animation Family
"Mark Neveldine, Brian Taylor",Nicolas Cage,Idris Elba,Fergus Riordan,Action Fantasy Thriller,ghost rider: spirit of vengeance,"Nicolas Cage Idris Elba Fergus Riordan Mark Neveldine, Brian Taylor Action Fantasy Thriller"
McG,Tom Hardy,Chris Pine,Reese Witherspoon,Action Comedy Romance,this means war,Tom Hardy Chris Pine Reese Witherspoon McG Action Comedy Romance
"""Mouse"" McCoy, Scott Waugh",Active Duty Navy SEALs,Roselyn Sánchez,Alex Veadov,Action Thriller War,act of valor,"Active Duty Navy SEALs Roselyn Sánchez Alex Veadov ""Mouse"" McCoy, Scott Waugh Action Thriller War"
Heitor Dhalia,Amanda Seyfried,Jennifer Carpenter,Sebastian Stan,Mystery Thriller Drama,gone,Amanda Seyfried Jennifer Carpenter Sebastian Stan Heitor Dhalia Mystery Thriller Drama
Tyler Perry,Tyler Perry,Thandie Newton,Rebecca Romijn,Comedy Drama Romance,good deeds,Tyler Perry Thandie Newton Rebecca Romijn Tyler Perry Comedy Drama Romance
David Wain,Paul Rudd,Jennifer Aniston,Malin Åkerman,Comedy Romance,wanderlust,Paul Rudd Jennifer Aniston Malin Åkerman David Wain Comedy Romance
"Jafar Panahi, Mojtaba Mirtahmasb",Jafar Panahi,Mojtaba Mirtahmasb (directors),unknown,Comedy Romance,this is not a film,"Jafar Panahi Mojtaba Mirtahmasb (directors) unknown Jafar Panahi, Mojtaba Mirtahmasb Comedy Romance"
"Chris Renaud, Kyle Balda",Danny DeVito,Zac Efron,Taylor Swift,Animation Family,dr. seuss' the lorax,"Danny DeVito Zac Efron Taylor Swift Chris Renaud, Kyle Balda Animation Family"
Nima Nourizadeh,Miles Teller,Oliver Cooper,Jonathan Daniel Brown,Comedy,project x,Miles Teller Oliver Cooper Jonathan Daniel Brown Nima Nourizadeh Comedy
Paul Weitz,Robert De Niro,Paul Dano,Olivia Thirlby,Drama,being flynn,Robert De Niro Paul Dano Olivia Thirlby Paul Weitz Drama
"Tim Heidecker, Eric Wareheim",Tim Heidecker,Eric Wareheim,Will Ferrell,Comedy,tim and eric's billion dollar movie,"Tim Heidecker Eric Wareheim Will Ferrell Tim Heidecker, Eric Wareheim Comedy"
Andrew Stanton,Taylor Kitsch,Lynn Collins,Samantha Morton,Action Adventure Science Fiction,john carter,Taylor Kitsch Lynn Collins Samantha Morton Andrew Stanton Action Adventure Science Fiction
Chris Kentis,Elizabeth Olsen,Adam Trese,Eric Sheffer Stevens,Horror Mystery,silent house,Elizabeth Olsen Adam Trese Eric Sheffer Stevens Chris Kentis Horror Mystery
Brian Robbins,Eddie Murphy,Kerry Washington,Cliff Curtis,Drama Comedy,a thousand words,Eddie Murphy Kerry Washington Cliff Curtis Brian Robbins Drama Comedy
Athina Rachel Tsangari,Ariane Labed,Giorgos Lanthimos,Vangelis Mourikis,Drama,attenberg,Ariane Labed Giorgos Lanthimos Vangelis Mourikis Athina Rachel Tsangari Drama
Marie Losier,Marie Losier (director),unknown,unknown,Documentary Music,the ballad of genesis and lady jaye,Marie Losier (director) unknown unknown Marie Losier Documentary Music
Jennifer Westfeldt,Adam Scott,Jennifer Westfeldt,Jon Hamm,Comedy Romance,friends with kids ₪,Adam Scott Jennifer Westfeldt Jon Hamm Jennifer Westfeldt Comedy Romance
David Gelb,David Gelb (director),unknown,unknown,Documentary,jiro dreams of sushi,David Gelb (director) unknown unknown David Gelb Documentary
Lasse Hallström,Ewan McGregor,Emily Blunt,Kristin Scott Thomas,Drama Romance Comedy,salmon fishing in the yemen,Ewan McGregor Emily Blunt Kristin Scott Thomas Lasse Hallström Drama Romance Comedy
Corinna Belz,Gerhard Richter,Norbert Arns,Hubert Becker,Documentary,gerhard richter painting,Gerhard Richter Norbert Arns Hubert Becker Corinna Belz Documentary
"Phil Lord, Chris Miller",Jonah Hill,Channing Tatum,Ice Cube,Action Comedy Crime,21 jump street,"Jonah Hill Channing Tatum Ice Cube Phil Lord, Chris Miller Action Comedy Crime"
Matt Piedmont,Will Ferrell,Gael García Bernal,Diego Luna,Comedy Western,casa de mi padre,Will Ferrell Gael García Bernal Diego Luna Matt Piedmont Comedy Western
"Mark Duplass, Jay Duplass",Jason Segel,Ed Helms,Judy Greer,Drama Comedy,"jeff, who lives at home","Jason Segel Ed Helms Judy Greer Mark Duplass, Jay Duplass Drama Comedy"
Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Science Fiction Adventure Thriller,the hunger games,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Gary Ross Science Fiction Adventure Thriller
Gareth Evans,Iko Uwais,Doni Alamsyah,Joe Taslim,Action Thriller Crime,the raid: redemption ₪,Iko Uwais Doni Alamsyah Joe Taslim Gareth Evans Action Thriller Crime
Nikolaj Arcel,Alicia Vikander,Mads Mikkelsen,unknown,Drama History Romance,a royal affair,Alicia Vikander Mads Mikkelsen unknown Nikolaj Arcel Drama History Romance
Tarsem Singh,Lily Collins,Julia Roberts,Armie Hammer,Adventure Comedy Drama Family Fantasy,mirror mirror,Lily Collins Julia Roberts Armie Hammer Tarsem Singh Adventure Comedy Drama Family Fantasy
Jonathan Liebesman,Sam Worthington,Liam Neeson,Ralph Fiennes,Fantasy Adventure,wrath of the titans,Sam Worthington Liam Neeson Ralph Fiennes Jonathan Liebesman Fantasy Adventure
Michael Dowse,Seann William Scott,Jay Baruchel,Liev Schreiber,Comedy,goon,Seann William Scott Jay Baruchel Liev Schreiber Michael Dowse Comedy
James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Drama Romance,titanic 3d,Leonardo DiCaprio Kate Winslet Billy Zane James Cameron Drama Romance
"Jon Hurwitz, Hayden Schlossberg",Jason Biggs,Alyson Hannigan,Chris Klein,Comedy,american reunion,"Jason Biggs Alyson Hannigan Chris Klein Jon Hurwitz, Hayden Schlossberg Comedy"
Morgan Spurlock,Skip Harvey,Eric Henson,Chuck Rozanski,Documentary,comic-con episode iv: a fan's hope,Skip Harvey Eric Henson Chuck Rozanski Morgan Spurlock Documentary
Whit Stillman,Greta Gerwig,Adam Brody,Analeigh Tipton,Comedy Drama Romance,damsels in distress,Greta Gerwig Adam Brody Analeigh Tipton Whit Stillman Comedy Drama Romance
Guy Maddin,Isabella Rossellini,Jason Patric,Kevin McDonald,Drama Thriller,keyhole,Isabella Rossellini Jason Patric Kevin McDonald Guy Maddin Drama Thriller
"Mathieu Roy, Harold Crooks",Mathieu Roy,Harold Crooks (director/screenplay),unknown,Documentary,surviving progress,"Mathieu Roy Harold Crooks (director/screenplay) unknown Mathieu Roy, Harold Crooks Documentary"
Nanni Moretti,Michel Piccoli,Jerzy Stuhr,Renato Scarpa,Drama Comedy,we have a pope,Michel Piccoli Jerzy Stuhr Renato Scarpa Nanni Moretti Drama Comedy
Drew Goddard,Richard Jenkins,Bradley Whitford,Jesse Williams,Horror Comedy Fantasy Thriller,the cabin in the woods,Richard Jenkins Bradley Whitford Jesse Williams Drew Goddard Horror Comedy Fantasy Thriller
"James Mather, Stephen St.Leger",Guy Pearce,Maggie Grace,Peter Stormare,Action Thriller Science Fiction,lockout,"Guy Pearce Maggie Grace Peter Stormare James Mather, Stephen St.Leger Action Thriller Science Fiction"
"Bobby Farrelly, Peter Farrelly",Chris Diamantopoulos,Sean Hayes,Will Sasso,Comedy,the three stooges,"Chris Diamantopoulos Sean Hayes Will Sasso Bobby Farrelly, Peter Farrelly Comedy"
Philippe Falardeau,Mohamed Fellag,Sophie Nélisse,Emilien Neron,Drama Comedy,monsieur lazhar,Mohamed Fellag Sophie Nélisse Emilien Neron Philippe Falardeau Drama Comedy
"Alastair Fothergill, Mark Linfield",Alastair Fothergill,Mark Linfield (directors); Tim Allen (narrator),unknown,Documentary,chimpanzee,"Alastair Fothergill Mark Linfield (directors); Tim Allen (narrator) unknown Alastair Fothergill, Mark Linfield Documentary"
Scott Hicks,Zac Efron,Taylor Schilling,Jay R. Ferguson,Drama Romance,the lucky one,Zac Efron Taylor Schilling Jay R. Ferguson Scott Hicks Drama Romance
Tim Story,Kevin Hart,Michael Ealy,Taraji P. Henson,Comedy Romance,think like a man,Kevin Hart Michael Ealy Taraji P. Henson Tim Story Comedy Romance
Lawrence Kasdan,Kevin Kline,Diane Keaton,Richard Jenkins,Drama Romance,darling companion,Kevin Kline Diane Keaton Richard Jenkins Lawrence Kasdan Drama Romance
"Petra Epperlein, Michael Tucker",Petra Epperlein,Michael Tucker (directors),unknown,Documentary,fightville,"Petra Epperlein Michael Tucker (directors) unknown Petra Epperlein, Michael Tucker Documentary"
Dennis Lee,Toni Collette,Michael Sheen,Jason Spevack,Comedy Family,jesus henry christ,Toni Collette Michael Sheen Jason Spevack Dennis Lee Comedy Family
Kevin Macdonald,Kevin Macdonald (director); Bob Marley,unknown,unknown,Comedy Family,marley,Kevin Macdonald (director); Bob Marley unknown unknown Kevin Macdonald Comedy Family
Jennifer Baichwal,Jennifer Baichwal (director),unknown,unknown,Crime Action Drama,payback,Jennifer Baichwal (director) unknown unknown Jennifer Baichwal Crime Action Drama
Nicholas Stoller,Jason Segel,Emily Blunt,Chris Pratt,Romance Comedy,the five-year engagement,Jason Segel Emily Blunt Chris Pratt Nicholas Stoller Romance Comedy
"Peter Lord, Jeff Newitt",Hugh Grant,Salma Hayek,Jeremy Piven,Animation Adventure Family Comedy,the pirates! in an adventure with scientists!,"Hugh Grant Salma Hayek Jeremy Piven Peter Lord, Jeff Newitt Animation Adventure Family Comedy"
James McTeigue,John Cusack,Alice Eve,Luke Evans,Crime Thriller Mystery,the raven,John Cusack Alice Eve Luke Evans James McTeigue Crime Thriller Mystery
Boaz Yakin,Jason Statham,Catherine Chan,Chris Sarandon,Action Crime Thriller,safe,Jason Statham Catherine Chan Chris Sarandon Boaz Yakin Action Crime Thriller
Morten Tyldum,Aksel Hennie,Synnøve Macody Lund,Nikolaj Coster-Waldau,Documentary,headhunters,Aksel Hennie Synnøve Macody Lund Nikolaj Coster-Waldau Morten Tyldum Documentary
Zal Batmanglij,Brit Marling,Christopher Denham,Nicole Vicius,Science Fiction Drama Mystery Thriller,sound of my voice,Brit Marling Christopher Denham Nicole Vicius Zal Batmanglij Science Fiction Drama Mystery Thriller
Joss Whedon,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Science Fiction Action Adventure,the avengers,Robert Downey Jr. Chris Evans Chris Hemsworth Joss Whedon Science Fiction Action Adventure
John Madden,Judi Dench,Bill Nighy,Dev Patel,Drama Comedy,the best exotic marigold hotel ₪,Judi Dench Bill Nighy Dev Patel John Madden Drama Comedy
Bess Kargman,Bess Kargman (director),unknown,unknown,Comedy Documentary Drama,first position,Bess Kargman (director) unknown unknown Bess Kargman Comedy Documentary Drama
Tim Burton,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Comedy Fantasy,dark shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Tim Burton Comedy Fantasy
Joe Berlinger,Paul Simon,David Byrne,Peter Gabriel,Music Documentary,under african skies,Paul Simon David Byrne Peter Gabriel Joe Berlinger Music Documentary
Nadine Labaki,Nadine Labaki,Leyla Fouad,Claude Msawbaa,Drama Comedy,where do we go now?,Nadine Labaki Leyla Fouad Claude Msawbaa Nadine Labaki Drama Comedy
Larry Charles,Sacha Baron Cohen,Ben Kingsley,Anna Faris,Comedy,the dictator,Sacha Baron Cohen Ben Kingsley Anna Faris Larry Charles Comedy
Jacques Audiard,Marion Cotillard,Matthias Schoenaerts,unknown,Drama Romance,rust and bone,Marion Cotillard Matthias Schoenaerts unknown Jacques Audiard Drama Romance
Peter Berg,Alexander Skarsgård,Taylor Kitsch,Brooklyn Decker,Thriller Action Adventure Science Fiction,battleship,Alexander Skarsgård Taylor Kitsch Brooklyn Decker Peter Berg Thriller Action Adventure Science Fiction
Kirk Jones,Cameron Diaz,Jennifer Lopez,Brooklyn Decker,Romance Comedy Drama,what to expect when you're expecting,Cameron Diaz Jennifer Lopez Brooklyn Decker Kirk Jones Romance Comedy Drama
Panos Cosmatos,Michael Rogers,Eva Allen,Scott Hylands,Fantasy Science Fiction Horror,beyond the black rainbow,Michael Rogers Eva Allen Scott Hylands Panos Cosmatos Fantasy Science Fiction Horror
Steve Rash,Brandon Routh,Gil Birmingham,unknown,Drama,crooked arrows,Brandon Routh Gil Birmingham unknown Steve Rash Drama
"Patrick Horvath, Dallas Hallam",Patrick Horvath,Dallas Hallam (director); Suziey Block,unknown,Drama Horror Thriller,entrance,"Patrick Horvath Dallas Hallam (director); Suziey Block unknown Patrick Horvath, Dallas Hallam Drama Horror Thriller"
David Weaver,Samuel L. Jackson,Luke Kirby,Ruth Negga,War Drama Action,fury,Samuel L. Jackson Luke Kirby Ruth Negga David Weaver War Drama Action
Tanya Wexler,Tanya Wexler (director); Maggie Gyllenhaal,Hugh Dancy,Felicity Jones,Comedy Romance,hysteria,Tanya Wexler (director); Maggie Gyllenhaal Hugh Dancy Felicity Jones Tanya Wexler Comedy Romance
Eduardo Sánchez,Eduardo Sánchez (director); Gretchen Lodge,Johnny Lewis,Alexandra Holden,Horror Thriller,lovely molly,Eduardo Sánchez (director); Gretchen Lodge Johnny Lewis Alexandra Holden Eduardo Sánchez Horror Thriller
Morgan Spurlock,Morgan Spurlock (director); Will Arnett,Jason Bateman,Adam Carolla,Documentary,mansome,Morgan Spurlock (director); Will Arnett Jason Bateman Adam Carolla Morgan Spurlock Documentary
Maïwenn,Maïwenn (director); Karin Viard,Marina Foïs,Joeystarr,Drama Thriller,polisse,Maïwenn (director); Karin Viard Marina Foïs Joeystarr Maïwenn Drama Thriller
Dustin Lance Black,Jennifer Connelly,Ed Harris,Emma Roberts,Drama Romance,virginia,Jennifer Connelly Ed Harris Emma Roberts Dustin Lance Black Drama Romance
Bradley Parker,Jonathan Sadowski,Devin Kelley,Jesse McCartney,Horror Thriller,chernobyl diaries,Jonathan Sadowski Devin Kelley Jesse McCartney Bradley Parker Horror Thriller
Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Action Comedy Science Fiction,men in black 3,Will Smith Tommy Lee Jones Josh Brolin Barry Sonnenfeld Action Comedy Science Fiction
Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Comedy Drama Romance,moonrise kingdom ₪,Jared Gilman Kara Hayward Bruce Willis Wes Anderson Comedy Drama Romance
"Emad Burnat, Guy Davidi",Emad Burnat,Guy Davidi (directors),unknown,War Documentary,5 broken cameras,"Emad Burnat Guy Davidi (directors) unknown Emad Burnat, Guy Davidi War Documentary"
Rupert Sanders,Charlize Theron,Kristen Stewart,Chris Hemsworth,Adventure Fantasy Drama,snow white and the huntsman,Charlize Theron Kristen Stewart Chris Hemsworth Rupert Sanders Adventure Fantasy Drama
John Gulager,Danielle Panabaker,Matt Bush,Chris Zylka,Horror Thriller Comedy,piranha 3dd,Danielle Panabaker Matt Bush Chris Zylka John Gulager Horror Thriller Comedy
"Eric Darnell (director/screenplay); Tom McGrath, Conrad Vernon",Ben Stiller,Chris Rock,David Schwimmer,Animation Family Comedy Adventure,madagascar 3: europe's most wanted,"Ben Stiller Chris Rock David Schwimmer Eric Darnell (director/screenplay); Tom McGrath, Conrad Vernon Animation Family Comedy Adventure"
